"ano_mes;canal;meta"
"2025/01;VAREJO SHOW ROOM;30000"
"2025/01;VAREJO ANACA;25000"
"2025/01;ATACADO;10000"
"2025/01;INSTAGRAM/SITE;10000"
"2025/02;VAREJO SHOW ROOM;40000"
"2025/02;VAREJO ANACA;48200"
"2025/02;ATACADO;14500"
"2025/02;INSTAGRAM/SITE;15000"
"2025/03;VAREJO SHOW ROOM;45000"
"2025/03;VAREJO ANACA;45000"
"2025/03;ATACADO;10000"
"2025/03;INSTAGRAM/SITE;15000"
"2025/04;VAREJO SHOW ROOM;58700"
"2025/04;VAREJO ANACA;60880"
"2025/04;ATACADO;17300"
"2025/04;INSTAGRAM/SITE;25700"
"2025/05;VAREJO SHOW ROOM;103000"
"2025/05;VAREJO ANACA;70000"
"2025/05;ATACADO;35000"
"2025/05;INSTAGRAM/SITE;40000"
"2025/06;VAREJO SHOW ROOM;110816"
"2025/06;VAREJO ANACA;90096"
"2025/06;ATACADO;60841"
"2025/06;INSTAGRAM/SITE;74364"
"2025/07;VAREJO SHOW ROOM;40000"
"2025/07;VAREJO ANACA;30000"
"2025/07;ATACADO;10000"
"2025/07;INSTAGRAM/SITE;20000"
"2025/08;VAREJO SHOW ROOM;55000"
"2025/08;VAREJO ANACA;45000"
"2025/08;ATACADO;15000"
"2025/08;INSTAGRAM/SITE;25000"
"2025/09;VAREJO SHOW ROOM;55000"
"2025/09;VAREJO ANACA;55000"
"2025/09;ATACADO;20000"
"2025/09;INSTAGRAM/SITE;20000"
"2025/10;VAREJO SHOW ROOM;55000"
"2025/10;VAREJO ANACA;55000"
"2025/10;ATACADO;20000"
"2025/10;INSTAGRAM/SITE;20000"
"2025/11;VAREJO SHOW ROOM;55000"
"2025/11;VAREJO ANACA;55000"
"2025/11;ATACADO;20000"
"2025/11;INSTAGRAM/SITE;20000"
"2025/12;VAREJO SHOW ROOM;55000"
"2025/12;VAREJO ANACA;55000"
"2025/12;ATACADO;20000"
"2025/12;INSTAGRAM/SITE;20000"
